sampID	project	sort_date	well	libname	seqtype	cross	dap	n_nuc	peak	stage	stagecode	batch	platform	final ERCC dil.
D17-187001	171003Geh	8/10/17	2A	P1_2A	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	0
D17-187002	171003Geh	8/10/17	2B	P1_2B	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:10M
D17-187003	171003Geh	8/10/17	2C	P1_2C	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:50M
D17-187004	171003Geh	8/10/17	2D	P1_2D	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:100M
D17-187005	171003Geh	8/10/17	2E	P1_2E	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:200M
D17-187006	171003Geh	8/10/17	2F	P1_2F	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:300M
D17-187007	171003Geh	8/10/17	2G	P1_2G	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:500M
D17-187008	171003Geh	8/10/17	2H	P1_2H	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:1000M
D17-187009	171003Geh	8/10/17	3A	P1_3A	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	0
D17-187010	171003Geh	8/10/17	3B	P1_3B	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:10M
D17-187011	171003Geh	8/10/17	3C	P1_3C	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:50M
D17-187012	171003Geh	8/10/17	3D	P1_3D	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:100M
D17-187013	171003Geh	8/10/17	3E	P1_3E	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:200M
D17-187014	171003Geh	8/10/17	3F	P1_3F	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:300M
D17-187015	171003Geh	8/10/17	3G	P1_3G	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:500M
D17-187016	171003Geh	8/10/17	3H	P1_3H	single	CxV	3	1	6N	early heart	2	1	HiSeq 2000	1:1000M
D17-187017	171003Geh	9/12/17	1A	P2_1A	single	CxV	nocell	0	NA	NA	4	2	HiSeq 2000	1:500M
D17-187018	171003Geh	9/12/17	1B	P2_1B	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187019	171003Geh	9/12/17	1C	P2_1C	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187020	171003Geh	9/12/17	1D	P2_1D	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187021	171003Geh	9/12/17	1E	P2_1E	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187022	171003Geh	9/12/17	1F	P2_1F	single	CxV	5	2	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187023	171003Geh	9/12/17	1G	P2_1G	single	CxV	5	2	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187024	171003Geh	9/12/17	2A	P2_2A	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187025	171003Geh	9/12/17	2B	P2_2B	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187026	171003Geh	9/12/17	2C	P2_2C	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187027	171003Geh	9/12/17	2D	P2_2D	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187028	171003Geh	9/12/17	2E	P2_2E	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187029	171003Geh	9/12/17	2F	P2_2F	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187030	171003Geh	9/12/17	2G	P2_2G	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187031	171003Geh	9/12/17	2H	P2_2H	single	CxV	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187032	171003Geh	9/12/17	3A	P2_3A	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187033	171003Geh	9/12/17	3B	P2_3B	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187034	171003Geh	9/12/17	3C	P2_3C	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187035	171003Geh	9/12/17	3D	P2_3D	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187036	171003Geh	9/12/17	3E	P2_3E	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
