name	experiment 	library	cross	dap	ploidy	stage	batch	fmat	tissue	washed	cell cycle stage	trajectory
P1_2A	171003Geh	single	CxV	3	6N	early heart	1	0.745313	endo	no	G2	446
P1_2C	171003Geh	single	CxV	3	6N	early heart	1	0.712517	endo	no	G1toS	780
P1_2D	171003Geh	single	CxV	3	6N	early heart	1	0.71858	endo	no	G2	410
P1_2E	171003Geh	single	CxV	3	6N	early heart	1	0.751479	endo	no	M	109
P1_2F	171003Geh	single	CxV	3	6N	early heart	1	0.682442	endo	no	G1toS	721
P1_2G	171003Geh	single	CxV	3	6N	early heart	1	0.743599	endo	no	G2	196
P1_2H	171003Geh	single	CxV	3	6N	early heart	1	0.678226	endo	no	M	53
P1_3B	171003Geh	single	CxV	3	6N	early heart	1	0.772936	endo	no	M	159
P1_3C	171003Geh	single	CxV	3	6N	early heart	1	0.938672	seedcoat	no	G1	1008
P1_3D	171003Geh	single	CxV	3	6N	early heart	1	0.753895	endo	no	G2	426
P1_3E	171003Geh	single	CxV	3	6N	early heart	1	0.960294	seedcoat	no	G1	1037
P1_3F	171003Geh	single	CxV	3	6N	early heart	1	0.768156	endo	no	G2	273
P1_3G	171003Geh	single	CxV	3	6N	early heart	1	0.976833	seedcoat	no	S	649
P1_3H	171003Geh	single	CxV	3	6N	early heart	1	0.956264	seedcoat	no	G1	1126
P11_10B	180507Geh	paired	VxC	4	6N	heart	1	0.729438	endo	no	G1	1105
P11_10C	180507Geh	paired	VxC	4	6N	heart	1	0.778822	endo	no	G2	392
P11_10D	180507Geh	paired	VxC	4	6N	heart	1	0.667841	endo	no	G2	427
P11_10E	180507Geh	paired	VxC	4	6N	heart	1	0.914001	seedcoat	no	G1	945
P11_10G	180507Geh	paired	VxC	4	6N	heart	1	0.686349	endo	no	G2	240
P11_10H	180507Geh	paired	VxC	4	6N	heart	1	0.751377	endo	no	G1	1106
P11_11A	180507Geh	paired	VxC	4	6N	heart	1	0.673448	endo	no	G2	340
P11_11B	180507Geh	paired	VxC	4	6N	heart	1	0.708105	endo	no	G2	274
P11_11C	180507Geh	paired	VxC	4	6N	heart	1	0.659466	endo	no	G2	428
P11_11D	180507Geh	paired	VxC	4	6N	heart	1	0.751973	endo	no	S	650
P11_11E	180507Geh	paired	VxC	4	6N	heart	1	0.651881	endo	no	G1toS	705
P11_11G	180507Geh	paired	VxC	4	6N	heart	1	0.728941	endo	no	G1toS	869
P11_11H	180507Geh	paired	VxC	4	6N	heart	1	0.779512	endo	no	G1toS	750
P11_12B	180507Geh	paired	VxC	4	6N	heart	1	0.682486	endo	no	G1	1057
P11_12C	180507Geh	paired	VxC	4	6N	heart	1	0.754141	endo	no	S	599
P11_12D	180507Geh	paired	VxC	4	6N	heart	1	0.767058	endo	no	S	512
P11_12E	180507Geh	paired	VxC	4	6N	heart	1	0.739856	endo	no	G2	341
P11_12G	180507Geh	paired	VxC	4	6N	heart	1	0.760173	endo	no	G2	368
P11_12H	180507Geh	paired	VxC	4	6N	heart	1	0.721956	endo	no	G2	393
P11_1B	180507Geh	paired	VxC	4	3N	heart	1	0.707931	endo	no	G1	980
P11_1C	180507Geh	paired	VxC	4	3N	heart	1	0.96515	seedcoat	no	G0	1182
